   ID    Solved      Time    Points  Attempts
    1         5       120        25         0
   22         5       210        25         0
   32         5       220        25         0
   52         5       240        25         0
   42         5       250        25         0
   62         5       250        25         0
   72         5       270        25         0
   82         5       280        25         0
   92         5       290        25         0
    6         5       130        24         1
   17         5       200        24         1
   37         5       230        24         1
   27         5       250        24         1
   67         5       260        24         1
   12         5       270        24         0
   47         5       280        24         1
   77         5       280        24         1
   57         5       290        24         1
   87         5       290        24         1
   97         5       300        24         1
    2         4       150        23         2
   13         4       180        23         2
   23         4       180        23         2
   33         4       250        23         2
   63         4       260        23         2
   93         4       260        23         2
   43         4       280        23         2
   73         4       280        23         2
   53         4       290        23         2
   83         4       290        23         2
    7         4       160        22         3
   18         4       210        22         3
   28         4       220        22         3
   48         4       220        22         3
   58         4       230        22         3
   88         4       250        22         3
   38         4       270        22         3
   68         4       270        22         3
   98         4       270        22         3
   78         4       290        22         3
    3         3       180        20         4
   24         3       200        20         4
   14         3       240        20         4
   54         3       250        20         4
   84         3       260        20         4
   64         3       270        20         4
   94         3       270        20         4
   34         3       280        20         4
   44         3       290        20         4
   74         3       290        20         4
    8         3       190        19         5
   19         3       220        19         5
   39         3       220        19         5
   49         3       230        19         5
   59         3       240        19         5
   79         3       250        19         5
   29         3       260        19         5
   89         3       260        19         5
   69         3       280        19         5
   99         3       280        19         5
   25         2       190        18         6
    4         2       200        18         6
   45         2       210        18         6
   55         2       260        18         6
   75         2       260        18         6
   15         2       270        18         6
   35         2       270        18         6
   85         2       270        18         6
   65         2       280        18         6
   95         2       280        18         6
    9         2       210        17         7
   20         2       230        17         7
   50         2       240        17         7
   60         2       250        17         7
   80         2       260        17         7
  100         2       260        17         7
   90         2       270        17         7
   30         2       290        17         7
   40         2       290        17         7
   70         2       290        17         7
    5         1       220        15         8
   46         1       250        15         8
   36         1       260        15         8
   56         1       270        15         8
   76         1       270        15         8
   16         1       280        15         8
   26         1       280        15         8
   86         1       280        15         8
   66         1       290        15         8
   96         1       290        15         8
   10         1       230        14         9
   21         1       240        14         9
   31         1       240        14         9
   41         1       260        14         9
   61         1       260        14         9
   81         1       270        14         9
   91         1       280        14         9
   51         1       290        14         9
   71         1       300        14         9
   11         0        60         0         0
